id;codMaquina;ordemProducao;dataHora;distancia;folhas;data
1;maq001;OP00123;2025-06-13 21:52:44;2.0;0;2025-06-13
2;maq001;OP00123;2025-06-13 21:52:45;2.0;0;2025-06-13
3;maq001;OP00123;2025-06-13 21:52:45;2.0;0;2025-06-13
4;maq001;OP00123;2025-06-13 21:52:46;2.0;0;2025-06-13
5;maq001;OP00123;2025-06-13 21:52:46;2.0;0;2025-06-13
6;maq001;OP00123;2025-06-13 21:52:47;2.0;0;2025-06-13
7;maq001;OP00123;2025-06-13 21:52:47;2.0;0;2025-06-13
8;maq001;OP00123;2025-06-13 21:52:48;2.0;0;2025-06-13
9;maq001;OP00123;2025-06-13 21:52:48;2.0;0;2025-06-13
10;maq001;OP00123;2025-06-13 21:52:49;2.0;0;2025-06-13
11;maq001;OP00123;2025-06-13 21:52:49;2.0;0;2025-06-13
12;maq001;OP00123;2025-06-13 21:52:50;2.0;0;2025-06-13
13;maq001;OP00123;2025-06-13 21:52:50;2.0;0;2025-06-13
14;maq001;OP00123;2025-06-13 21:52:51;2.0;0;2025-06-13
15;maq001;OP00123;2025-06-13 21:52:51;2.0;0;2025-06-13
16;maq001;OP00123;2025-06-13 21:52:52;2.0;0;2025-06-13
17;maq001;OP00123;2025-06-13 21:52:52;2.0;0;2025-06-13
18;maq001;OP00123;2025-06-13 21:52:53;2.0;0;2025-06-13
19;maq001;OP00123;2025-06-13 21:52:53;2.0;0;2025-06-13
20;maq001;OP00123;2025-06-13 21:52:54;53.0;0;2025-06-13
21;maq001;OP00123;2025-06-13 21:52:54;194.0;0;2025-06-13
22;maq001;OP00123;2025-06-13 21:52:55;340.9;0;2025-06-13
23;maq001;OP00123;2025-06-13 21:52:55;397.9;0;2025-06-13
24;maq001;OP00123;2025-06-13 21:52:56;278.0;0;2025-06-13
25;maq001;OP00123;2025-06-13 21:52:56;119.9;0;2025-06-13
26;maq001;OP00123;2025-06-13 21:52:57;46.0;0;2025-06-13
27;maq001;OP00123;2025-06-13 21:52:57;2.0;1;2025-06-13
28;maq001;OP00123;2025-06-13 21:52:58;74.0;1;2025-06-13
29;maq001;OP00123;2025-06-13 21:52:58;169.0;1;2025-06-13
30;maq001;OP00123;2025-06-13 21:52:59;340.9;1;2025-06-13
31;maq001;OP00123;2025-06-13 21:52:59;399.9;1;2025-06-13
32;maq001;OP00123;2025-06-13 21:53:00;275.0;1;2025-06-13
33;maq001;OP00123;2025-06-13 21:53:00;150.9;1;2025-06-13
34;maq001;OP00123;2025-06-13 21:53:01;84.0;1;2025-06-13
35;maq001;OP00123;2025-06-13 21:53:01;28.0;1;2025-06-13
36;maq001;OP00123;2025-06-13 21:53:02;2.0;2;2025-06-13
37;maq001;OP00123;2025-06-13 21:53:02;91.0;2;2025-06-13
38;maq001;OP00123;2025-06-13 21:53:03;253.0;2;2025-06-13
39;maq001;OP00123;2025-06-13 21:53:03;351.9;2;2025-06-13
40;maq001;OP00123;2025-06-13 21:53:04;376.9;2;2025-06-13
41;maq001;OP00123;2025-06-13 21:53:05;208.0;2;2025-06-13
42;maq001;OP00123;2025-06-13 21:53:05;101.9;2;2025-06-13
43;maq001;OP00123;2025-06-13 21:53:06;2.0;3;2025-06-13
44;maq001;OP00123;2025-06-13 21:53:06;3.0;3;2025-06-13
45;maq001;OP00123;2025-06-13 21:53:07;127.0;3;2025-06-13
46;maq001;OP00123;2025-06-13 21:53:07;267.0;3;2025-06-13
47;maq001;OP00123;2025-06-13 21:53:08;359.0;3;2025-06-13
48;maq001;OP00123;2025-06-13 21:53:08;399.9;3;2025-06-13
49;maq001;OP00123;2025-06-13 21:53:09;348.0;3;2025-06-13
50;maq001;OP00123;2025-06-13 21:53:09;229.0;3;2025-06-13
51;maq001;OP00123;2025-06-13 21:53:10;113.1;3;2025-06-13
52;maq001;OP00123;2025-06-13 21:53:10;60.0;3;2025-06-13
53;maq001;OP00123;2025-06-13 21:53:11;2.0;4;2025-06-13
54;maq001;OP00123;2025-06-13 21:53:11;127.0;4;2025-06-13
55;maq001;OP00123;2025-06-13 21:53:12;259.9;4;2025-06-13
56;maq001;OP00123;2025-06-13 21:53:12;340.9;4;2025-06-13
57;maq001;OP00123;2025-06-13 21:53:13;399.9;4;2025-06-13
58;maq001;OP00123;2025-06-13 21:53:13;399.9;4;2025-06-13
59;maq001;OP00123;2025-06-13 21:53:14;399.9;4;2025-06-13
60;maq001;OP00123;2025-06-13 21:53:14;397.9;4;2025-06-13
61;maq001;OP00123;2025-06-13 21:53:15;319.9;4;2025-06-13
62;maq001;OP00123;2025-06-13 21:53:15;222.0;4;2025-06-13
63;maq001;OP00123;2025-06-13 21:53:16;140.9;4;2025-06-13
64;maq001;OP00123;2025-06-13 21:53:16;21.0;4;2025-06-13
65;maq001;OP00123;2025-06-13 21:53:17;56.0;4;2025-06-13
66;maq001;OP00123;2025-06-13 21:53:17;137.0;4;2025-06-13
67;maq001;OP00123;2025-06-13 21:53:18;196.9;4;2025-06-13
68;maq001;OP00123;2025-06-13 21:53:18;296.0;4;2025-06-13
69;maq001;OP00123;2025-06-13 21:53:19;399.9;4;2025-06-13
70;maq001;OP00123;2025-06-13 21:53:19;399.9;4;2025-06-13
71;maq001;OP00123;2025-06-13 21:53:20;390.9;4;2025-06-13
72;maq001;OP00123;2025-06-13 21:53:20;288.9;4;2025-06-13
73;maq001;OP00123;2025-06-13 21:53:21;137.0;4;2025-06-13
74;maq001;OP00123;2025-06-13 21:53:22;14.0;4;2025-06-13
75;maq001;OP00123;2025-06-13 21:53:22;2.0;5;2025-06-13
76;maq001;OP00123;2025-06-13 21:53:23;46.0;5;2025-06-13
77;maq001;OP00123;2025-06-13 21:53:23;127.0;5;2025-06-13
78;maq001;OP00123;2025-06-13 21:53:24;351.9;5;2025-06-13
79;maq001;OP00123;2025-06-13 21:53:24;400.0;5;2025-06-13
80;maq001;OP00123;2025-06-13 21:53:25;399.9;5;2025-06-13
81;maq001;OP00123;2025-06-13 21:53:25;267.0;5;2025-06-13
82;maq001;OP00123;2025-06-13 21:53:26;77.0;5;2025-06-13
83;maq001;OP00123;2025-06-13 21:53:26;2.0;6;2025-06-13
84;maq001;OP00123;2025-06-13 21:53:27;2.0;6;2025-06-13
85;maq001;OP00123;2025-06-13 21:53:27;2.0;6;2025-06-13
86;maq001;OP00123;2025-06-13 21:53:28;2.0;6;2025-06-13
87;maq001;OP00123;2025-06-13 21:53:28;218.0;6;2025-06-13
88;maq001;OP00123;2025-06-13 21:53:29;399.9;6;2025-06-13
89;maq001;OP00123;2025-06-13 21:53:29;400.0;6;2025-06-13
90;maq001;OP00123;2025-06-13 21:53:30;399.9;6;2025-06-13
91;maq001;OP00123;2025-06-13 21:53:30;144.0;6;2025-06-13
92;maq001;OP00123;2025-06-13 21:53:31;2.0;7;2025-06-13
93;maq001;OP00123;2025-06-13 21:53:31;2.0;7;2025-06-13
94;maq001;OP00123;2025-06-13 21:53:32;218.0;7;2025-06-13
95;maq001;OP00123;2025-06-13 21:53:32;309.9;7;2025-06-13
96;maq001;OP00123;2025-06-13 21:53:33;400.0;7;2025-06-13
97;maq001;OP00123;2025-06-13 21:53:33;399.9;7;2025-06-13
